L U' R U R' L' U2 R U' R' U' R U' R',no,yes
R' U2 R2 U R' U' R' U2 F R U R U' R' F',no,yes
R' U' R U' R' U R U' R' U R U' R2 D' R U2 R' D R2,no,yes
y F R' F' r U R U' r',no,yes
y' R' U2 R U2 D' R U' R U R U' R2 D,no,yes
L R U' R' U L' R U R' U R U' R',no,yes
y R U R D R' U2 R D' R' U' R' U R U R',no,yes
R U R' U R U' R' U' L' U R U' R' L,no,yes
y F R U R' U' R' F' R U2 R U2 R',no,yes
y2 R U R' F' U' r' F2 r U F,no,yes
y' R2 D' r U2 r' R U R' D R U R,no,yes
y' R' U R U2 R' L' U R U L U r' F r,no,yes
R' D R' U R D' R' U R2 U' R2 U' R2,no,yes
y2 F' R U2 R' U2 R' F U2 R U R U' R2 U2 R,no,yes
y2 F' r U R' U' r' F R,no,yes
y R U R' U R U' R' U R U' R' U R2 D R' U2 R D' R2,no,yes
y' R' F R U R U' R' F' U R U R' U R U' R',no,yes
y R' U' R U2 R' F' R U R' U' R' F R2 U R' U2 R,no,yes
y2 F' R U2 R' U2 R' F R U R U' R',no,yes
y R U R' U R' D' R U2 R' D R2 U' R' U R U' R',no,yes
R' U' R' D' R U2 R' D R U R U' R' U' R,no,yes
y' F R U' R' U' R U2 R' U' F',no,yes
y2 R U R' U R U2 R D R' U2 R D' R' U2 R',no,yes
y2 R U2 R' U' R2 D R' U' R D' R2,no,yes
R' D' R U2 R' D R U R U2 R' U R U R',no,yes
R' F' R U R' U' R' F R2 U' R' U2 R,no,yes
y R U2 R D R' U2 R D' R2,no,yes
y R U2 R' U2 R U R2 D' R U2 R' D R2 U2 R',no,yes
y2 F R U R' U' R' F' U' R U R U' R' U' R' U R,no,yes
y2 R U R' U R U R' U2 R' D' r U2 r' D R,no,yes
y R U' R2 D' R U' R' D R U2 R U' R' U' R U R',no,yes
y2 R' F' R U2 R U2 R' F U' R U R' U' R U' R',no,yes
y R' U R U2 R' U' R U2 R' U' R U' R2 D' R U R' D R2,no,yes
y' R' F' R U R' U' R' F D' R U' R' D R2 U R' U R,no,yes
y r U2 r2 F R F' r2 R' U2 r',no,yes
y R U' R' U R U' R' U' R U R' U2 R' D' R U R' D R,no,yes
R' U R U' R' U R U R' U' R U2 R D R' U' R D' R',no,yes
r U2 R r2 F R' F' r2 U2 r',no,yes
y2 F' r U R' U R' D R U' R' D' R U' r' F R,no,yes
y F R U R' U' F' r U r' U R U' R' r U' r',no,yes
y' F R U R' U' R' F R2 U' R' U' R U R' F2,no,yes
y2 B' R U R' U' R' F R2 U' R' U' R U R' S z',no,yes
y' R' U' R U R' F' R U R' U' R' F R2,no,yes
y F R U R2 F R F' R U' R' F',no,yes
y' L' U2 R U' R' U2 L R U' R',no,yes
y2 R U R' U F' R U2 R' U' R' U' R' F R U R,no,yes
y' R2 U R' U R' U' R U' R' U' R U R U' R2,no,yes
y R U2 R' U' R U' R' U R' U2 R U R' U R,no,yes
y R U R' U R U2 R' U R' U' R U' R' U2 R,no,yes
y R2 U' R U R U' R' U' R U' R' U R' U R2,no,yes
R' U2 R U R' U R U' R U2 R' U' R U' R',no,yes
y2 R2 U' R U' R U R' U R U R' U' R' U R2,no,yes
R' U' R U' R' U2 R U' R U R' U R U2 R',no,yes
R2 U R' U' R' U R U R' U R U' R U' R2,no,yes
y R U2 R' U' R U' R' U2 R U R' U R U2 R',no,yes
y R U R' U R U2 R' U2 R U2 R' U' R U' R',no,yes
y' R U R' U R U' R' U R U' R' U R U2 R',no,yes
R U' R' L' U2 L U L' U L R U2 R',no,yes
y R' U' R U' R' U' R U2 L' R' U R U' L,no,yes
y R' U2 R2 U R' U' R' U2 F' R U2 R U2 R' F,no,yes
y2 R' U' R' D' R U' M' U2 r' D R2,no,yes
y2 F R2 D R' U' R D' R2 U' R U2 R' U' F',no,yes
y F R U R' U' R U R' U' F' R U R' U' R' F R F',no,yes
y2 R' U' R' D' R U R' D R2,no,yes
R' U2 R F U' R' U R U F' R' U R,no,yes
y' R' U' R U R' U R L' U R' U' R L,no,yes
y F U R U2 R' U R U R' F',no,yes
y R U R' U' R' F' R U2 R U2 R' F,no,yes
y' F U R' U' R F' R' U' R U R' U R,no,yes
y' R' U R U R' U' R' D' R U2 R' D R U R,no,yes
y2 R' U' R U D' R U' R U R U' R2 D,no,yes
y' R' D' R U R' D R2 U' R' U R U R' U' R U R',no,yes
y R U R' U R U R' U2 L R U' R' U L',no,yes
y2 F R U R' U' R' F' U2 R U R U' R2 U2 R,no,yes
y' r U R' U' r' F R F',no,yes
R' U' R U' R2 F' R U R U' R' F U R U' R' U2 R,no,yes
U2 R U R D R' U2 R D' R' U' R' U R U' R' U' R U' R',no,yes
y' R U R' U' R U' R' L U' R U R' L',no,yes
y' R U2 R' U2 R' F R U R U' R' F',no,yes
